qualified_name,path,line,folder,platform,owner,risk,status,interaction,complexity,callers,calls,shared_state
mx.ik.robots3.MainActivity.RobotHostBridge.closeApp,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,50,android/kotlin,Android,Android / ciclo de vida,Bajo,interno,síncrona,1,closeApplication,,
mx.ik.robots3.MainActivity.onCreate,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,58,android/kotlin,Android,Android / ciclo de vida,Bajo,entrada/framework,síncrona,2,,,
mx.ik.robots3.MainActivity.onWindowFocusChanged,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,68,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.onDestroy,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,83,android/kotlin,Android,Android / ciclo de vida,Bajo,entrada/framework,síncrona,1,,,
mx.ik.robots3.MainActivity.onBackPressed,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,96,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.registerBackNavigation,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,100,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.handleBackNavigation,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,110,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.requestNotificationPermission,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,115,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.startRobotBackend,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,123,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.buildLoadingView,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,129,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.waitForBackend,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,156,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.showHmi,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,181,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.showHmi.<lambda>.shouldOverrideUrlLoading,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,197,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.showHmi.<lambda>.onJsConfirm,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,202,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,5,,,
mx.ik.robots3.MainActivity.downloadExport,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,223,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,3,,,
mx.ik.robots3.MainActivity.showStartupError,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,244,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.MainActivity.applySystemInsets,android_app/app/src/main/java/mx/ik/robots3/MainActivity.kt,258,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.RobotApplication.onCreate,android_app/app/src/main/java/mx/ik/robots3/RobotApplication.kt,8,android/kotlin,Android,Android / ciclo de vida,Bajo,entrada/framework,síncrona,1,,,
mx.ik.robots3.RobotBackendService.run,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,27,android/kotlin,Android,Android / ciclo de vida,Bajo,interno,síncrona,1,main; render; run_ctags,,
mx.ik.robots3.RobotBackendService.onCreate,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,35,android/kotlin,Android,Android / ciclo de vida,Bajo,entrada/framework,síncrona,1,,,
mx.ik.robots3.RobotBackendService.onStartCommand,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,54,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,2,,,
mx.ik.robots3.RobotBackendService.requestSafeStopFromNotification,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,62,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.RobotBackendService.onDestroy,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,75,android/kotlin,Android,Android / ciclo de vida,Bajo,entrada/framework,síncrona,1,,,
mx.ik.robots3.RobotBackendService.onBind,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,90,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,3,,,
mx.ik.robots3.RobotBackendService.acquireLocks,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,92,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.RobotBackendService.createNotificationChannel,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,108,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.RobotBackendService.buildNotification,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,119,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
mx.ik.robots3.RobotBackendService.updateNotification,android_app/app/src/main/java/mx/ik/robots3/RobotBackendService.kt,154,android/kotlin,Android,Android / ciclo de vida,Bajo,sin llamada interna detectada,síncrona,1,,,
run,android_app/app/src/main/python/mobile_entry.py,22,android/python,Android,Python / misión e historial,Bajo,interno,síncrona,1,main; render; run_ctags,close; create_app,
stop,android_app/app/src/main/python/mobile_entry.py,54,android/python,Android,Python / misión e historial,Medio,interno,síncrona,5,close; disconnect,close,parada/cierre
prepare_close,android_app/app/src/main/python/mobile_entry.py,72,android/python,Android,Python / misión e historial,Bajo,interno,síncrona,2,close_application,,
is_ready,android_app/app/src/main/python/mobile_entry.py,82,android/python,Android,Python / misión e historial,Bajo,sin llamada interna detectada,síncrona,1,,,
_load_application,desktop_app/app.py,10,backend/python,Windows/Android,Python / misión e historial,Bajo,interno,síncrona,3,main,,
parse_args,desktop_app/app.py,31,backend/python,Windows/Android,Python / misión e historial,Bajo,interno,síncrona,1,main,,
